,name,chapter,appeared,rolling_appearance
591685,Kop,381,1,5.0
591862,Monkey D. Luffy,381,1,20.0
591912,Nami,381,1,17.0
591998,Paulie,381,1,17.0
592002,Peepley Lulu,381,1,11.0
592105,Roronoa Zoro,381,1,17.0
592140,Sanji,381,1,17.0
592157,Schollzo,381,1,6.0
592221,Sodom,381,1,10.0
592300,Tilestone,381,1,11.0
592312,Tony Tony Chopper,381,1,16.0
592443,Zambai,381,1,12.0
592578,Blueno,382,1,13.0
592900,Franky,382,1,15.0
592909,Fukurou,382,1,5.0
592911,Funkfreed,382,1,5.0
592972,Gomorrah,382,1,11.0
593022,Hattori,382,1,11.0
593115,Jabra,382,1,5.0
593171,Kaku,382,1,14.0
593172,Kaku,382,1,13.0
593176,Kalifa,382,1,13.0
593207,Kiev,382,1,9.0
593257,Kumadori,382,1,5.0
593417,Monkey D. Luffy,382,1,20.0
593467,Nami,382,1,18.0
593492,Nico Robin,382,1,12.0
593645,Rob Lucci,382,1,13.0
593660,Roronoa Zoro,382,1,17.0
593695,Sanji,382,1,18.0
593776,Sodom,382,1,11.0
593784,Spandam,382,1,7.0
593867,Tony Tony Chopper,382,1,17.0
593982,Yokozuna,382,1,6.0
593998,Zambai,382,1,13.0
594133,Blueno,383,1,13.0
594527,Gomorrah,383,1,12.0
594762,Kiev,383,1,10.0
594795,Kop,383,1,6.0
594972,Monkey D. Luffy,383,1,20.0
595022,Nami,383,1,18.0
595108,Paulie,383,1,17.0
595112,Peepley Lulu,383,1,12.0
595215,Roronoa Zoro,383,1,17.0
595250,Sanji,383,1,18.0
595331,Sodom,383,1,12.0
595410,Tilestone,383,1,12.0
595422,Tony Tony Chopper,383,1,17.0
595537,Yokozuna,383,1,7.0
595553,Zambai,383,1,14.0
595688,Blueno,384,1,13.0
595853,Chimney,384,1,15.0
596010,Franky,384,1,14.0
596082,Gomorrah,384,1,13.0
596083,Gonbe,384,1,15.0
596300,Kashii,384,1,4.0
596317,Kiev,384,1,11.0
596344,Kokoro,384,1,14.0
596350,Kop,384,1,7.0
596527,Monkey D. Luffy,384,1,20.0
596552,Mozu,384,1,1.0
596577,Nami,384,1,18.0
596602,Nico Robin,384,1,11.0
596632,Oimo,384,1,4.0
596663,Paulie,384,1,17.0
596667,Peepley Lulu,384,1,13.0
596770,Roronoa Zoro,384,1,17.0
596805,Sanji,384,1,18.0
596822,Schollzo,384,1,7.0
596942,Tamagon,384,1,7.0
596965,Tilestone,384,1,13.0
596977,Tony Tony Chopper,384,1,17.0
597092,Yokozuna,384,1,8.0
597108,Zambai,384,1,15.0
597243,Blueno,385,1,13.0
597574,Fukurou,385,1,6.0
597637,Gomorrah,385,1,14.0
597687,Hattori,385,1,10.0
597780,Jabra,385,1,6.0
597836,Kaku,385,1,11.0
597837,Kaku,385,1,11.0
597841,Kalifa,385,1,11.0
597872,Kiev,385,1,12.0
597905,Kop,385,1,8.0
597922,Kumadori,385,1,6.0
598082,Monkey D. Luffy,385,1,20.0
598132,Nami,385,1,18.0
598310,Rob Lucci,385,1,11.0
598325,Roronoa Zoro,385,1,18.0
598360,Sanji,385,1,18.0
598532,Tony Tony Chopper,385,1,17.0
598647,Yokozuna,385,1,9.0
598663,Zambai,385,1,16.0
598798,Blueno,386,1,14.0
599120,Franky,386,1,15.0
599131,Funkfreed,386,1,6.0
599410,Kashii,386,1,5.0
599427,Kiev,386,1,13.0
599460,Kop,386,1,9.0
599687,Nami,386,1,18.0
599712,Nico Robin,386,1,11.0
599742,Oimo,386,1,5.0
599880,Roronoa Zoro,386,1,18.0
599915,Sanji,386,1,19.0
599932,Schollzo,386,1,8.0
600004,Spandam,386,1,8.0
600052,Tamagon,386,1,8.0
600087,Tony Tony Chopper,386,1,17.0
600202,Yokozuna,386,1,10.0
600218,Zambai,386,1,17.0
600353,Blueno,387,1,15.0
600982,Kiev,387,1,14.0
601015,Kop,387,1,10.0
601192,Monkey D. Luffy,387,1,19.0
601242,Nami,387,1,18.0
601435,Roronoa Zoro,387,1,18.0
601470,Sanji,387,1,20.0
601487,Schollzo,387,1,9.0
601559,Spandam,387,1,9.0
601607,Tamagon,387,1,9.0
601642,Tony Tony Chopper,387,1,17.0
601757,Yokozuna,387,1,11.0
601773,Zambai,387,1,18.0
601908,Blueno,388,1,15.0
602230,Franky,388,1,15.0
602520,Kashii,388,1,6.0
602537,Kiev,388,1,14.0
602564,Kokoro,388,1,11.0
602570,Kop,388,1,10.0
602747,Monkey D. Luffy,388,1,19.0
602797,Nami,388,1,18.0
602822,Nico Robin,388,1,11.0
602852,Oimo,388,1,6.0
602883,Paulie,388,1,14.0
602887,Peepley Lulu,388,1,14.0
602990,Roronoa Zoro,388,1,18.0
603025,Sanji,388,1,20.0
603042,Schollzo,388,1,9.0
603114,Spandam,388,1,9.0
603162,Tamagon,388,1,9.0
603185,Tilestone,388,1,14.0
603197,Tony Tony Chopper,388,1,17.0
603312,Yokozuna,388,1,12.0
603328,Zambai,388,1,18.0
603785,Franky,389,1,15.0
603794,Fukurou,389,1,7.0
603796,Funkfreed,389,1,6.0
603907,Hattori,389,1,10.0
604000,Jabra,389,1,7.0
604056,Kaku,389,1,7.0
604057,Kaku,389,1,8.0
604061,Kalifa,389,1,11.0
604142,Kumadori,389,1,7.0
604302,Monkey D. Luffy,389,1,19.0
604352,Nami,389,1,18.0
604377,Nico Robin,389,1,12.0
604530,Rob Lucci,389,1,11.0
604545,Roronoa Zoro,389,1,18.0
604580,Sanji,389,1,20.0
604669,Spandam,389,1,10.0
604752,Tony Tony Chopper,389,1,17.0
605349,Fukurou,390,1,8.0
605462,Hattori,390,1,10.0
605555,Jabra,390,1,8.0
605611,Kaku,390,1,8.0
605612,Kaku,390,1,7.0
605616,Kalifa,390,1,11.0
605630,Kashii,390,1,7.0
605647,Kiev,390,1,13.0
605697,Kumadori,390,1,8.0
605857,Monkey D. Luffy,390,1,19.0
605907,Nami,390,1,18.0
605932,Nico Robin,390,1,13.0
605962,Oimo,390,1,7.0
605993,Paulie,390,1,12.0
605997,Peepley Lulu,390,1,12.0
606085,Rob Lucci,390,1,11.0
606100,Roronoa Zoro,390,1,18.0
606135,Sanji,390,1,19.0
606224,Spandam,390,1,11.0
606295,Tilestone,390,1,12.0
606307,Tony Tony Chopper,390,1,16.0
606422,Yokozuna,390,1,13.0
606438,Zambai,390,1,16.0
606895,Franky,391,1,13.0
606904,Fukurou,391,1,9.0
607017,Hattori,391,1,10.0
607110,Jabra,391,1,9.0
607166,Kaku,391,1,10.0
607167,Kaku,391,1,9.0
607171,Kalifa,391,1,11.0
607185,Kashii,391,1,8.0
607252,Kumadori,391,1,9.0
607412,Monkey D. Luffy,391,1,20.0
607462,Nami,391,1,19.0
607487,Nico Robin,391,1,13.0
607517,Oimo,391,1,8.0
607548,Paulie,391,1,13.0
607552,Peepley Lulu,391,1,13.0
607640,Rob Lucci,391,1,11.0
607655,Roronoa Zoro,391,1,19.0
607690,Sanji,391,1,19.0
607779,Spandam,391,1,12.0
607850,Tilestone,391,1,13.0
607862,Tony Tony Chopper,391,1,17.0
607977,Yokozuna,391,1,14.0
608168,Busshiri,392,1,1.0
608532,Gram,392,1,1.0
608542,Hack,392,1,2.0
608543,Hack,392,1,1.0
608603,Hocha,392,1,1.0
608670,Jaguar D. Saul,392,1,1.0
608839,Laskey,392,1,1.0
609042,Nico Robin,392,1,14.0
609082,Oran,392,1,1.0
609187,Rint,392,1,1.0
609197,Roche,392,1,1.0
609203,Roji,392,1,1.0
609335,Spandine,392,1,1.0
609434,Tsumonsieur Kamaya,392,1,1.0
609546,Zadie,392,1,1.0
609723,Busshiri,393,1,2.0
610087,Gram,393,1,2.0
610158,Hocha,393,1,2.0
610225,Jaguar D. Saul,393,1,2.0
610382,Kuzan,393,1,1.0
610394,Laskey,393,1,2.0
610596,Nico Olvia,393,1,1.0
610597,Nico Robin,393,1,14.0
610742,Rint,393,1,2.0
610752,Roche,393,1,2.0
610890,Spandine,393,1,2.0
610989,Tsumonsieur Kamaya,393,1,2.0
611101,Zadie,393,1,2.0
611278,Busshiri,394,1,3.0
611642,Gram,394,1,3.0
611780,Jaguar D. Saul,394,1,3.0
611949,Laskey,394,1,3.0
612151,Nico Olvia,394,1,2.0
612152,Nico Robin,394,1,15.0
612297,Rint,394,1,3.0
612307,Roche,394,1,3.0
612445,Spandine,394,1,3.0
612544,Tsumonsieur Kamaya,394,1,3.0
612656,Zadie,394,1,3.0
612833,Busshiri,395,1,4.0
613093,Ethanbaron V. Nusjuro,395,1,1.0
613197,Gram,395,1,4.0
613268,Hocha,395,1,3.0
613335,Jaguar D. Saul,395,1,4.0
613340,Jaygarcia Saturn,395,1,1.0
613504,Laskey,395,1,4.0
613546,Marcus Mars,395,1,1.0
613706,Nico Olvia,395,1,3.0
613707,Nico Robin,395,1,16.0
613852,Rint,395,1,4.0
613862,Roche,395,1,4.0
613955,Shepherd Ju Peter,395,1,1.0
614000,Spandine,395,1,4.0
614084,Topman Warcury,395,1,1.0
614099,Tsumonsieur Kamaya,395,1,4.0
614211,Zadie,395,1,4.0
614752,Gram,396,1,5.0
614762,Hack,396,1,4.0
614763,Hack,396,1,3.0
614890,Jaguar D. Saul,396,1,5.0
615047,Kuzan,396,1,2.0
615059,Laskey,396,1,5.0
615261,Nico Olvia,396,1,4.0
615262,Nico Robin,396,1,16.0
615555,Spandine,396,1,5.0
615654,Tsumonsieur Kamaya,396,1,5.0
616378,Hocha,397,1,4.0
616445,Jaguar D. Saul,397,1,6.0
616602,Kuzan,397,1,3.0
616816,Nico Olvia,397,1,5.0
616817,Nico Robin,397,1,16.0
616962,Rint,397,1,5.0
616972,Roche,397,1,5.0
617011,Sakazuki,397,1,1.0
617110,Spandine,397,1,6.0
617209,Tsumonsieur Kamaya,397,1,6.0
617780,Franky,398,1,9.0
617789,Fukurou,398,1,9.0
617902,Hattori,398,1,7.0
617995,Jabra,398,1,9.0
618051,Kaku,398,1,8.0
618052,Kaku,398,1,7.0
618056,Kalifa,398,1,8.0
618137,Kumadori,398,1,9.0
618297,Monkey D. Luffy,398,1,17.0
618347,Nami,398,1,17.0
618372,Nico Robin,398,1,16.0
618525,Rob Lucci,398,1,8.0
618540,Roronoa Zoro,398,1,17.0
618575,Sanji,398,1,15.0
618664,Spandam,398,1,12.0
618747,Tony Tony Chopper,398,1,15.0
619335,Franky,399,1,9.0
619344,Fukurou,399,1,10.0
619457,Hattori,399,1,8.0
619550,Jabra,399,1,10.0
619606,Kaku,399,1,10.0
619607,Kaku,399,1,9.0
619611,Kalifa,399,1,8.0
619625,Kashii,399,1,9.0
619642,Kiev,399,1,13.0
619669,Kokoro,399,1,6.0
619692,Kumadori,399,1,10.0
619852,Monkey D. Luffy,399,1,17.0
619902,Nami,399,1,17.0
619927,Nico Robin,399,1,16.0
619957,Oimo,399,1,9.0
619988,Paulie,399,1,10.0
619992,Peepley Lulu,399,1,10.0
620080,Rob Lucci,399,1,8.0
620095,Roronoa Zoro,399,1,17.0
620130,Sanji,399,1,15.0
620219,Spandam,399,1,12.0
620267,Tamagon,399,1,7.0
620290,Tilestone,399,1,10.0
620302,Tony Tony Chopper,399,1,15.0
620433,Zambai,399,1,13.0
620733,Chimney,400,1,4.0
620890,Franky,400,1,9.0
620899,Fukurou,400,1,8.0
620901,Funkfreed,400,1,4.0
620963,Gonbe,400,1,4.0
621012,Hattori,400,1,8.0
621105,Jabra,400,1,8.0
621161,Kaku,400,1,9.0
621162,Kaku,400,1,9.0
621166,Kalifa,400,1,8.0
621224,Kokoro,400,1,6.0
621247,Kumadori,400,1,8.0
621407,Monkey D. Luffy,400,1,17.0
621457,Nami,400,1,18.0
621482,Nico Robin,400,1,16.0
621635,Rob Lucci,400,1,8.0
621650,Roronoa Zoro,400,1,19.0
621685,Sanji,400,1,15.0
621774,Spandam,400,1,10.0
621857,Tony Tony Chopper,400,1,15.0
621988,Zambai,400,1,12.0
622660,Jabra,401,1,9.0
622716,Kaku,401,1,9.0
622717,Kaku,401,1,9.0
622962,Monkey D. Luffy,401,1,17.0
623205,Roronoa Zoro,401,1,19.0
623365,Suzume,401,1,1.0
624000,Franky,402,1,10.0
624009,Fukurou,402,1,9.0
624215,Jabra,402,1,10.0
624271,Kaku,402,1,10.0
624272,Kaku,402,1,9.0
624276,Kalifa,402,1,9.0
624357,Kumadori,402,1,9.0
624517,Monkey D. Luffy,402,1,18.0
624567,Nami,402,1,17.0
624760,Roronoa Zoro,402,1,19.0
624795,Sanji,402,1,15.0
624967,Tony Tony Chopper,402,1,15.0
625398,Chimney,403,1,3.0
625628,Gonbe,403,1,3.0
625831,Kalifa,403,1,10.0
625912,Kumadori,403,1,10.0
626072,Monkey D. Luffy,403,1,18.0
626122,Nami,403,1,17.0
626350,Sanji,403,1,15.0
626522,Tony Tony Chopper,403,1,15.0
626953,Chimney,404,1,4.0
627110,Franky,404,1,10.0
627119,Fukurou,404,1,9.0
627183,Gonbe,404,1,4.0
627232,Hattori,404,1,8.0
627467,Kumadori,404,1,10.0
627627,Monkey D. Luffy,404,1,18.0
627702,Nico Robin,404,1,16.0
627855,Rob Lucci,404,1,8.0
627994,Spandam,404,1,10.0
628077,Tony Tony Chopper,404,1,15.0
628665,Franky,405,1,11.0
628674,Fukurou,405,1,10.0
629022,Kumadori,405,1,11.0
629632,Tony Tony Chopper,405,1,15.0
630220,Franky,406,1,11.0
630229,Fukurou,406,1,11.0
630435,Jabra,406,1,10.0
630491,Kaku,406,1,12.0
630492,Kaku,406,1,11.0
630577,Kumadori,406,1,12.0
630980,Roronoa Zoro,406,1,16.0
631187,Tony Tony Chopper,406,1,15.0
631775,Franky,407,1,12.0
632051,Kalifa,407,1,9.0
632132,Kumadori,407,1,12.0
632342,Nami,407,1,14.0
632742,Tony Tony Chopper,407,1,15.0
633330,Franky,408,1,12.0
633452,Hattori,408,1,8.0
633606,Kalifa,408,1,10.0
633687,Kumadori,408,1,13.0
633847,Monkey D. Luffy,408,1,16.0
633897,Nami,408,1,14.0
633922,Nico Robin,408,1,15.0
634075,Rob Lucci,408,1,8.0
634214,Spandam,408,1,10.0
634297,Tony Tony Chopper,408,1,15.0
634885,Franky,409,1,13.0
635007,Hattori,409,1,9.0
635100,Jabra,409,1,10.0
635132,John Giant,409,1,1.0
635156,Kaku,409,1,11.0
635157,Kaku,409,1,11.0
635161,Kalifa,409,1,11.0
635175,Kashii,409,1,5.0
635219,Kokoro,409,1,4.0
635402,Monkey D. Luffy,409,1,16.0
635452,Nami,409,1,14.0
635477,Nico Robin,409,1,16.0
635507,Oimo,409,1,5.0
635538,Paulie,409,1,5.0
635542,Peepley Lulu,409,1,5.0
635630,Rob Lucci,409,1,9.0
635645,Roronoa Zoro,409,1,14.0
635680,Sanji,409,1,10.0
635769,Spandam,409,1,10.0
635817,Tamagon,409,1,3.0
635840,Tilestone,409,1,5.0
635852,Tony Tony Chopper,409,1,15.0
635983,Zambai,409,1,5.0
636562,Hattori,410,1,9.0
636655,Jabra,410,1,10.0
636711,Kaku,410,1,12.0
636712,Kaku,410,1,11.0
636716,Kalifa,410,1,11.0
636766,Kiwi,410,1,1.0
636957,Monkey D. Luffy,410,1,16.0
637007,Nami,410,1,14.0
637093,Paulie,410,1,5.0
637097,Peepley Lulu,410,1,5.0
637185,Rob Lucci,410,1,9.0
637200,Roronoa Zoro,410,1,14.0
637372,Tamagon,410,1,3.0
637395,Tilestone,410,1,5.0
637407,Tony Tony Chopper,410,1,14.0
637538,Zambai,410,1,5.0
638271,Kalifa,411,1,12.0
638562,Nami,411,1,14.0
638790,Sanji,411,1,9.0
638962,Tony Tony Chopper,411,1,15.0
639550,Franky,412,1,12.0
639765,Jabra,412,1,10.0
639821,Kaku,412,1,11.0
639822,Kaku,412,1,11.0
639826,Kalifa,412,1,12.0
640117,Nami,412,1,14.0
640310,Roronoa Zoro,412,1,13.0
640517,Tony Tony Chopper,412,1,15.0
640948,Chimney,413,1,4.0
641105,Franky,413,1,12.0
641116,Funkfreed,413,1,2.0
641178,Gonbe,413,1,4.0
641320,Jabra,413,1,10.0
641376,Kaku,413,1,11.0
641377,Kaku,413,1,11.0
641439,Kokoro,413,1,4.0
641672,Nami,413,1,14.0
641697,Nico Robin,413,1,13.0
641865,Roronoa Zoro,413,1,13.0
641900,Sanji,413,1,8.0
641989,Spandam,413,1,7.0
642503,Chimney,414,1,5.0
642660,Franky,414,1,13.0
642733,Gonbe,414,1,5.0
642782,Hattori,414,1,8.0
642875,Jabra,414,1,11.0
642931,Kaku,414,1,12.0
642932,Kaku,414,1,11.0
642994,Kokoro,414,1,5.0
643000,Kop,414,1,1.0
643177,Monkey D. Luffy,414,1,14.0
643227,Nami,414,1,15.0
643252,Nico Robin,414,1,13.0
643313,Paulie,414,1,4.0
643405,Rob Lucci,414,1,8.0
643420,Roronoa Zoro,414,1,14.0
643455,Sanji,414,1,9.0
643544,Spandam,414,1,8.0
643615,Tilestone,414,1,4.0
643758,Zambai,414,1,5.0
644430,Jabra,415,1,12.0
645010,Sanji,415,1,10.0
645770,Franky,416,1,14.0
645892,Hattori,416,1,9.0
646041,Kaku,416,1,14.0
646042,Kaku,416,1,13.0
646287,Monkey D. Luffy,416,1,15.0
646362,Nico Robin,416,1,12.0
646515,Rob Lucci,416,1,9.0
646530,Roronoa Zoro,416,1,15.0
646565,Sanji,416,1,11.0
646654,Spandam,416,1,9.0
647596,Kaku,417,1,15.0
647597,Kaku,417,1,15.0
648085,Roronoa Zoro,417,1,16.0
648880,Franky,418,1,15.0
649151,Kaku,418,1,16.0
649152,Kaku,418,1,15.0
649170,Kashii,418,1,3.0
649187,Kiev,418,1,2.0
649214,Kokoro,418,1,6.0
649220,Kop,418,1,2.0
649397,Monkey D. Luffy,418,1,16.0
649472,Nico Robin,418,1,11.0
649502,Oimo,418,1,3.0
649533,Paulie,418,1,5.0
649625,Rob Lucci,418,1,10.0
649640,Roronoa Zoro,418,1,17.0
649675,Sanji,418,1,12.0
649764,Spandam,418,1,10.0
649812,Tamagon,418,1,4.0
649962,Yokozuna,418,1,1.0
649978,Zambai,418,1,6.0
650435,Franky,419,1,16.0
650725,Kashii,419,1,4.0
650952,Monkey D. Luffy,419,1,17.0
651027,Nico Robin,419,1,11.0
651057,Oimo,419,1,4.0
651088,Paulie,419,1,6.0
651092,Peepley Lulu,419,1,4.0
651180,Rob Lucci,419,1,11.0
651195,Roronoa Zoro,419,1,18.0
651230,Sanji,419,1,13.0
651319,Spandam,419,1,11.0
651390,Tilestone,419,1,5.0
651517,Yokozuna,419,1,2.0
651533,Zambai,419,1,7.0
651833,Chimney,420,1,6.0
651912,Doberman,420,1,1.0
651990,Franky,420,1,15.0
652063,Gonbe,420,1,6.0
652280,Kashii,420,1,4.0
652324,Kokoro,420,1,6.0
652499,Momonga,420,1,1.0
652507,Monkey D. Luffy,420,1,17.0
652557,Nami,420,1,15.0
652582,Nico Robin,420,1,10.0
652612,Oimo,420,1,4.0
652620,Onigumo,420,1,1.0
652643,Paulie,420,1,6.0
652735,Rob Lucci,420,1,10.0
652750,Roronoa Zoro,420,1,18.0
652785,Sanji,420,1,12.0
652874,Spandam,420,1,10.0
652894,Strawberry,420,1,1.0
653060,Yamakaji,420,1,1.0
653072,Yokozuna,420,1,3.0
653388,Chimney,421,1,7.0
653545,Franky,421,1,16.0
653618,Gonbe,421,1,7.0
653667,Hattori,421,1,8.0
653835,Kashii,421,1,5.0
653879,Kokoro,421,1,7.0
654062,Monkey D. Luffy,421,1,17.0
654112,Nami,421,1,16.0
654137,Nico Robin,421,1,11.0
654167,Oimo,421,1,5.0
654290,Rob Lucci,421,1,11.0
654305,Roronoa Zoro,421,1,18.0
654340,Sanji,421,1,13.0
654429,Spandam,421,1,11.0
654943,Chimney,422,1,8.0
655022,Doberman,422,1,2.0
655173,Gonbe,422,1,8.0
655434,Kokoro,422,1,8.0
655617,Monkey D. Luffy,422,1,17.0
655667,Nami,422,1,16.0
655730,Onigumo,422,1,2.0
655845,Rob Lucci,422,1,12.0
655860,Roronoa Zoro,422,1,18.0
655895,Sanji,422,1,14.0
656498,Chimney,423,1,8.0
656655,Franky,423,1,16.0
656666,Funkfreed,423,1,2.0
656728,Gonbe,423,1,8.0
656945,Kashii,423,1,6.0
656989,Kokoro,423,1,8.0
657172,Monkey D. Luffy,423,1,17.0
657222,Nami,423,1,16.0
657247,Nico Robin,423,1,11.0
657277,Oimo,423,1,6.0
657400,Rob Lucci,423,1,12.0
657415,Roronoa Zoro,423,1,18.0
657450,Sanji,423,1,14.0
657539,Spandam,423,1,11.0
657737,Yokozuna,423,1,4.0
657753,Zambai,423,1,6.0
658053,Chimney,424,1,9.0
658210,Franky,424,1,17.0
658283,Gonbe,424,1,9.0
658500,Kashii,424,1,7.0
658517,Kiev,424,1,2.0
658544,Kokoro,424,1,9.0
658719,Momonga,424,1,2.0
658727,Monkey D. Luffy,424,1,17.0
658777,Nami,424,1,17.0
658802,Nico Robin,424,1,12.0
658832,Oimo,424,1,7.0
658863,Paulie,424,1,7.0
658867,Peepley Lulu,424,1,4.0
658955,Rob Lucci,424,1,13.0
658970,Roronoa Zoro,424,1,18.0
659005,Sanji,424,1,15.0
659114,Strawberry,424,1,2.0
659142,Tamagon,424,1,4.0
659165,Tilestone,424,1,5.0
659177,Tony Tony Chopper,424,1,12.0
659292,Yokozuna,424,1,5.0
659308,Zambai,424,1,7.0
659608,Chimney,425,1,10.0
659687,Doberman,425,1,3.0
659765,Franky,425,1,17.0
659838,Gonbe,425,1,10.0
660099,Kokoro,425,1,10.0
660282,Monkey D. Luffy,425,1,17.0
660332,Nami,425,1,17.0
660357,Nico Robin,425,1,13.0
660395,Onigumo,425,1,3.0
660510,Rob Lucci,425,1,14.0
660525,Roronoa Zoro,425,1,18.0
660560,Sanji,425,1,15.0
660732,Tony Tony Chopper,425,1,12.0
660835,Yamakaji,425,1,2.0
661163,Chimney,426,1,10.0
661320,Franky,426,1,18.0
661393,Gonbe,426,1,10.0
661654,Kokoro,426,1,11.0
661837,Monkey D. Luffy,426,1,17.0
661887,Nami,426,1,17.0
661912,Nico Robin,426,1,14.0
662065,Rob Lucci,426,1,15.0
662080,Roronoa Zoro,426,1,19.0
662115,Sanji,426,1,15.0
662182,Shu,426,1,1.0
662287,Tony Tony Chopper,426,1,12.0
662350,Very Good,426,1,1.0
662875,Franky,427,1,18.0
662997,Hattori,427,1,7.0
663384,Momonga,427,1,3.0
663392,Monkey D. Luffy,427,1,17.0
663442,Nami,427,1,18.0
663467,Nico Robin,427,1,14.0
663620,Rob Lucci,427,1,15.0
663635,Roronoa Zoro,427,1,20.0
663892,Usopp,427,1,3.0
664273,Chimney,428,1,10.0
664352,Doberman,428,1,4.0
664430,Franky,428,1,18.0
664497,Going Merry,428,1,1.0
664503,Gonbe,428,1,10.0
664552,Hattori,428,1,8.0
664720,Kashii,428,1,8.0
664737,Kiev,428,1,3.0
664764,Kokoro,428,1,12.0
664939,Momonga,428,1,4.0
664947,Monkey D. Luffy,428,1,18.0
664997,Nami,428,1,19.0
665022,Nico Robin,428,1,15.0
665052,Oimo,428,1,8.0
665060,Onigumo,428,1,4.0
665083,Paulie,428,1,8.0
665087,Peepley Lulu,428,1,5.0
665190,Roronoa Zoro,428,1,21.0
665225,Sanji,428,1,16.0
665242,Schollzo,428,1,1.0
665267,Sharinguru,428,1,1.0
665334,Strawberry,428,1,3.0
665362,Tamagon,428,1,5.0
665385,Tilestone,428,1,6.0
665397,Tony Tony Chopper,428,1,11.0
665447,Usopp,428,1,4.0
665512,Yokozuna,428,1,6.0
665528,Zambai,428,1,8.0
665828,Chimney,429,1,11.0
665875,Dago,429,1,1.0
665907,Doberman,429,1,5.0
665978,Footbianco,429,1,1.0
665985,Franky,429,1,18.0
666052,Going Merry,429,1,2.0
666058,Gonbe,429,1,11.0
666275,Kashii,429,1,9.0
666319,Kokoro,429,1,13.0
666502,Monkey D. Luffy,429,1,19.0
666552,Nami,429,1,20.0
666577,Nico Robin,429,1,16.0
666607,Oimo,429,1,9.0
666615,Onigumo,429,1,5.0
666621,Ottoland,429,1,1.0
666745,Roronoa Zoro,429,1,21.0
666780,Sanji,429,1,17.0
666869,Spandam,429,1,11.0
666917,Tamagon,429,1,6.0
666952,Tony Tony Chopper,429,1,11.0
667002,Usopp,429,1,5.0
667067,Yokozuna,429,1,7.0
667383,Chimney,430,1,12.0
667540,Franky,430,1,17.0
667607,Going Merry,430,1,3.0
667613,Gonbe,430,1,12.0
667721,Iceburg,430,1,1.0
667874,Kokoro,430,1,14.0
668057,Monkey D. Luffy,430,1,20.0
668107,Nami,430,1,20.0
668132,Nico Robin,430,1,16.0
668300,Roronoa Zoro,430,1,23.0
668335,Sanji,430,1,19.0
668507,Tony Tony Chopper,430,1,10.0
668532,Tyrannosaurus,430,1,1.0
668938,Chimney,431,1,13.0
669095,Franky,431,1,17.0
669167,Gomorrah,431,1,1.0
669168,Gonbe,431,1,13.0
669220,Helmeppo,431,1,1.0
669276,Iceburg,431,1,2.0
669385,Kashii,431,1,9.0
669402,Kiev,431,1,4.0
669424,Koby,431,1,1.0
669429,Kokoro,431,1,14.0
669611,Monkey D. Garp,431,1,1.0
669612,Monkey D. Luffy,431,1,20.0
669662,Nami,431,1,20.0
669687,Nico Robin,431,1,16.0
669717,Oimo,431,1,9.0
669748,Paulie,431,1,8.0
669855,Roronoa Zoro,431,1,23.0
669890,Sanji,431,1,19.0
669907,Schollzo,431,1,2.0
669971,Sodom,431,1,1.0
670027,Tamagon,431,1,6.0
670062,Tony Tony Chopper,431,1,10.0
670087,Tyrannosaurus,431,1,2.0
670112,Usopp,431,1,7.0
670177,Yokozuna,431,1,8.0
670193,Zambai,431,1,8.0
670336,Bogard,432,1,1.0
670493,Chimney,432,1,14.0
670650,Franky,432,1,18.0
670723,Gonbe,432,1,14.0
670775,Helmeppo,432,1,2.0
670979,Koby,432,1,2.0
670984,Kokoro,432,1,15.0
671166,Monkey D. Garp,432,1,2.0
671167,Monkey D. Luffy,432,1,20.0
671217,Nami,432,1,20.0
671242,Nico Robin,432,1,17.0
671410,Roronoa Zoro,432,1,23.0
671445,Sanji,432,1,20.0
671617,Tony Tony Chopper,432,1,11.0
671667,Usopp,432,1,7.0
671732,Yokozuna,432,1,9.0
671891,Bogard,433,1,2.0
672048,Chimney,433,1,15.0
672095,Dago,433,1,2.0
672183,Ethanbaron V. Nusjuro,433,1,1.0
672198,Footbianco,433,1,2.0
672205,Franky,433,1,19.0
672277,Gomorrah,433,1,2.0
672278,Gonbe,433,1,15.0
672330,Helmeppo,433,1,3.0
672386,Iceburg,433,1,3.0
672430,Jaygarcia Saturn,433,1,1.0
672460,Jozu,433,1,1.0
672495,Kashii,433,1,10.0
672512,Kiev,433,1,5.0
672534,Koby,433,1,3.0
672539,Kokoro,433,1,16.0
672545,Kop,433,1,3.0
672636,Marcus Mars,433,1,1.0
672721,Monkey D. Garp,433,1,3.0
672722,Monkey D. Luffy,433,1,20.0
672772,Nami,433,1,20.0
672797,Nico Robin,433,1,18.0
672827,Oimo,433,1,10.0
672841,Ottoland,433,1,2.0
672858,Paulie,433,1,8.0
672862,Peepley Lulu,433,1,4.0
672965,Roronoa Zoro,433,1,23.0
673000,Sanji,433,1,21.0
673017,Schollzo,433,1,3.0
673045,Shepherd Ju Peter,433,1,1.0
673081,Sodom,433,1,2.0
673137,Tamagon,433,1,6.0
673160,Tilestone,433,1,5.0
673172,Tony Tony Chopper,433,1,11.0
673174,Topman Warcury,433,1,1.0
673197,Tyrannosaurus,433,1,3.0
673287,Yokozuna,433,1,10.0
673303,Zambai,433,1,8.0
673408,Benn Beckman,434,1,1.0
673684,Doc Q,434,1,1.0
673717,Edward Newgate,434,1,1.0
