,name,chapter,appeared,rolling_appearance
42796,Kuro,28,1,2.0
42897,Merry,28,1,3.0
42947,Monkey D. Luffy,28,1,18.0
42997,Nami,28,1,21.0
43190,Roronoa Zoro,28,1,18.0
43447,Usopp,28,1,5.0
44208,Jango,29,1,2.0
44502,Monkey D. Luffy,29,1,17.0
44552,Nami,29,1,21.0
44745,Roronoa Zoro,29,1,13.0
45002,Usopp,29,1,8.0
45763,Jango,30,1,3.0
45906,Kuro,30,1,2.0
46057,Monkey D. Luffy,30,1,18.0
46107,Nami,30,1,18.0
46300,Roronoa Zoro,30,1,11.0
46473,Tamanegi,30,1,1.0
46557,Usopp,30,1,15.0
46802,Buchi,31,1,1.0
47318,Jango,31,1,3.0
47390,Kaya,31,1,1.0
47562,Merry,31,1,1.0
47662,Nami,31,1,19.0
47693,Ninjin,31,1,1.0
47766,Piiman,31,1,1.0
47855,Roronoa Zoro,31,1,19.0
47928,Sham,31,1,1.0
48028,Tamanegi,31,1,2.0
48112,Usopp,31,1,20.0
48357,Buchi,32,1,2.0
48873,Jango,32,1,3.0
49016,Kuro,32,1,2.0
49217,Nami,32,1,23.0
49410,Roronoa Zoro,32,1,24.0
49483,Sham,32,1,2.0
49667,Usopp,32,1,24.0
49912,Buchi,33,1,3.0
50428,Jango,33,1,3.0
50571,Kuro,33,1,2.0
50772,Nami,33,1,25.0
50965,Roronoa Zoro,33,1,25.0
51038,Sham,33,1,3.0
51222,Usopp,33,1,25.0
51467,Buchi,34,1,3.0
51983,Jango,34,1,3.0
52055,Kaya,34,1,1.0
52126,Kuro,34,1,3.0
52277,Monkey D. Luffy,34,1,23.0
52327,Nami,34,1,25.0
52520,Roronoa Zoro,34,1,20.0
52777,Usopp,34,1,21.0
53022,Buchi,35,1,3.0
53538,Jango,35,1,3.0
53610,Kaya,35,1,2.0
53681,Kuro,35,1,3.0
53832,Monkey D. Luffy,35,1,24.0
53913,Ninjin,35,1,1.0
53986,Piiman,35,1,1.0
54075,Roronoa Zoro,35,1,19.0
54248,Tamanegi,35,1,1.0
54332,Usopp,35,1,13.0
54577,Buchi,36,1,3.0
55093,Jango,36,1,3.0
55165,Kaya,36,1,3.0
55236,Kuro,36,1,3.0
55387,Monkey D. Luffy,36,1,15.0
55468,Ninjin,36,1,2.0
55541,Piiman,36,1,2.0
55630,Roronoa Zoro,36,1,12.0
55803,Tamanegi,36,1,2.0
55887,Usopp,36,1,12.0
56791,Kuro,37,1,3.0
56942,Monkey D. Luffy,37,1,14.0
58203,Jango,38,1,2.0
58275,Kaya,38,1,2.0
58346,Kuro,38,1,3.0
58497,Monkey D. Luffy,38,1,19.0
58547,Nami,38,1,16.0
58578,Ninjin,38,1,2.0
58651,Piiman,38,1,2.0
58740,Roronoa Zoro,38,1,15.0
58913,Tamanegi,38,1,2.0
58997,Usopp,38,1,9.0
59758,Jango,39,1,2.0
59830,Kaya,39,1,2.0
59901,Kuro,39,1,3.0
60052,Monkey D. Luffy,39,1,19.0
60102,Nami,39,1,18.0
60133,Ninjin,39,1,2.0
60206,Piiman,39,1,2.0
60295,Roronoa Zoro,39,1,18.0
60468,Tamanegi,39,1,2.0
60552,Usopp,39,1,2.0
61385,Kaya,40,1,3.0
61557,Merry,40,1,1.0
61607,Monkey D. Luffy,40,1,17.0
61617,Mornin,40,1,1.0
61657,Nami,40,1,17.0
61688,Ninjin,40,1,3.0
61761,Piiman,40,1,3.0
61850,Roronoa Zoro,40,1,18.0
62023,Tamanegi,40,1,3.0
62107,Usopp,40,1,3.0
62940,Kaya,41,1,3.0
63112,Merry,41,1,2.0
63162,Monkey D. Luffy,41,1,16.0
63212,Nami,41,1,14.0
63243,Ninjin,41,1,3.0
63316,Piiman,41,1,3.0
63405,Roronoa Zoro,41,1,14.0
63578,Tamanegi,41,1,3.0
63662,Usopp,41,1,3.0
64448,Johnny,42,1,1.0
64717,Monkey D. Luffy,42,1,17.0
64767,Nami,42,1,15.0
64960,Roronoa Zoro,42,1,18.0
65217,Usopp,42,1,3.0
65288,Yosaku,42,1,1.0
65389,Batchee,43,1,1.0
65765,Fullbody,43,1,1.0
66003,Johnny,43,1,2.0
66272,Monkey D. Luffy,43,1,20.0
66276,Moodie,43,1,1.0
66288,Motzel,43,1,1.0
66322,Nami,43,1,20.0
66515,Roronoa Zoro,43,1,22.0
66550,Sanji,43,1,18.0
66772,Usopp,43,1,6.0
66843,Yosaku,43,1,2.0
66856,Zeff,43,1,1.0
67320,Fullbody,44,1,2.0
67361,Gin,44,1,1.0
67709,Lines,44,1,1.0
67827,Monkey D. Luffy,44,1,24.0
67962,Patty,44,1,1.0
68105,Sanji,44,1,22.0
68411,Zeff,44,1,2.0
68599,Carne,45,1,2.0
68916,Gin,45,1,2.0
69382,Monkey D. Luffy,45,1,21.0
69432,Nami,45,1,21.0
69517,Patty,45,1,3.0
69625,Roronoa Zoro,45,1,20.0
69660,Sanji,45,1,21.0
69882,Usopp,45,1,17.0
69966,Zeff,45,1,4.0
70154,Carne,46,1,3.0
70471,Gin,46,1,3.0
70668,Johnny,46,1,1.0
70774,Krieg,46,1,1.0
70937,Monkey D. Luffy,46,1,18.0
70987,Nami,46,1,19.0
71072,Patty,46,1,4.0
71180,Roronoa Zoro,46,1,14.0
71187,Roxanne,46,1,1.0
71215,Sanji,46,1,15.0
71437,Usopp,46,1,21.0
71508,Yosaku,46,1,1.0
71521,Zeff,46,1,4.0
71709,Carne,47,1,3.0
72026,Gin,47,1,3.0
72329,Krieg,47,1,2.0
72492,Monkey D. Luffy,47,1,15.0
72627,Patty,47,1,3.0
72770,Sanji,47,1,14.0
73076,Zeff,47,1,3.0
73264,Carne,48,1,3.0
73581,Gin,48,1,3.0
73884,Krieg,48,1,3.0
74047,Monkey D. Luffy,48,1,16.0
74182,Patty,48,1,3.0
74290,Roronoa Zoro,48,1,19.0
74325,Sanji,48,1,19.0
74547,Usopp,48,1,21.0
74631,Zeff,48,1,3.0
75136,Gin,49,1,3.0
75333,Johnny,49,1,1.0
75439,Krieg,49,1,3.0
75602,Monkey D. Luffy,49,1,18.0
75737,Patty,49,1,3.0
75845,Roronoa Zoro,49,1,19.0
75880,Sanji,49,1,21.0
76102,Usopp,49,1,22.0
76173,Yosaku,49,1,1.0
76186,Zeff,49,1,3.0
76374,Carne,50,1,2.0
76586,Dracule Mihawk,50,1,1.0
76888,Johnny,50,1,2.0
76994,Krieg,50,1,3.0
77157,Monkey D. Luffy,50,1,22.0
77207,Nami,50,1,19.0
77292,Patty,50,1,3.0
77400,Roronoa Zoro,50,1,20.0
77435,Sanji,50,1,21.0
77657,Usopp,50,1,22.0
77728,Yosaku,50,1,2.0
77741,Zeff,50,1,3.0
78141,Dracule Mihawk,51,1,2.0
78443,Johnny,51,1,3.0
78549,Krieg,51,1,3.0
78712,Monkey D. Luffy,51,1,25.0
78847,Patty,51,1,3.0
78955,Roronoa Zoro,51,1,23.0
78990,Sanji,51,1,23.0
79212,Usopp,51,1,22.0
79283,Yosaku,51,1,3.0
79296,Zeff,51,1,3.0
79696,Dracule Mihawk,52,1,3.0
79998,Johnny,52,1,3.0
80104,Krieg,52,1,3.0
80267,Monkey D. Luffy,52,1,25.0
80402,Patty,52,1,3.0
80510,Roronoa Zoro,52,1,17.0
80545,Sanji,52,1,18.0
80767,Usopp,52,1,17.0
80838,Yosaku,52,1,3.0
80851,Zeff,52,1,3.0
81039,Carne,53,1,1.0
81659,Krieg,53,1,3.0
81822,Monkey D. Luffy,53,1,25.0
81957,Patty,53,1,3.0
82100,Sanji,53,1,11.0
82406,Zeff,53,1,3.0
82594,Carne,54,1,2.0
83214,Krieg,54,1,3.0
83377,Monkey D. Luffy,54,1,25.0
83512,Patty,54,1,3.0
83516,Pearl,54,1,1.0
83655,Sanji,54,1,6.0
83961,Zeff,54,1,3.0
84466,Gin,55,1,1.0
84599,Ideaman,55,1,1.0
84769,Krieg,55,1,3.0
84932,Monkey D. Luffy,55,1,25.0
85067,Patty,55,1,3.0
85071,Pearl,55,1,2.0
85210,Sanji,55,1,5.0
85516,Zeff,55,1,3.0
85704,Carne,56,1,2.0
86021,Gin,56,1,2.0
86324,Krieg,56,1,3.0
86487,Monkey D. Luffy,56,1,22.0
86622,Patty,56,1,3.0
86626,Pearl,56,1,3.0
86765,Sanji,56,1,4.0
87071,Zeff,56,1,3.0
89131,Gin,58,1,2.0
89597,Monkey D. Luffy,58,1,19.0
89736,Pearl,58,1,2.0
89875,Sanji,58,1,2.0
90181,Zeff,58,1,2.0
90369,Carne,59,1,1.0
90686,Gin,59,1,2.0
90989,Krieg,59,1,1.0
91152,Monkey D. Luffy,59,1,17.0
91287,Patty,59,1,1.0
91291,Pearl,59,1,2.0
91430,Sanji,59,1,4.0
91736,Zeff,59,1,2.0
91924,Carne,60,1,2.0
92241,Gin,60,1,3.0
92364,Hustle,60,1,1.0
92544,Krieg,60,1,2.0
92707,Monkey D. Luffy,60,1,18.0
92842,Patty,60,1,2.0
92985,Sanji,60,1,11.0
93291,Zeff,60,1,3.0
93479,Carne,61,1,3.0
93796,Gin,61,1,3.0
94099,Krieg,61,1,3.0
94262,Monkey D. Luffy,61,1,21.0
94397,Patty,61,1,3.0
94540,Sanji,61,1,19.0
94846,Zeff,61,1,3.0
95034,Carne,62,1,3.0
95351,Gin,62,1,3.0
95654,Krieg,62,1,3.0
95817,Monkey D. Luffy,62,1,25.0
95952,Patty,62,1,3.0
96095,Sanji,62,1,20.0
96401,Zeff,62,1,3.0
96589,Carne,63,1,3.0
96906,Gin,63,1,3.0
97209,Krieg,63,1,3.0
97372,Monkey D. Luffy,63,1,19.0
97507,Patty,63,1,3.0
97650,Sanji,63,1,15.0
97956,Zeff,63,1,3.0
98144,Carne,64,1,3.0
98461,Gin,64,1,3.0
98676,Kagikko,64,1,1.0
98764,Krieg,64,1,3.0
98927,Monkey D. Luffy,64,1,16.0
99062,Patty,64,1,3.0
99205,Sanji,64,1,16.0
99511,Zeff,64,1,3.0
100319,Krieg,65,1,3.0
100482,Monkey D. Luffy,65,1,20.0
100760,Sanji,65,1,20.0
101066,Zeff,65,1,3.0
101254,Carne,66,1,2.0
101571,Gin,66,1,2.0
101874,Krieg,66,1,3.0
102037,Monkey D. Luffy,66,1,23.0
102172,Patty,66,1,2.0
102315,Sanji,66,1,23.0
102621,Zeff,66,1,3.0
102809,Carne,67,1,2.0
103126,Gin,67,1,2.0
103592,Monkey D. Luffy,67,1,24.0
103727,Patty,67,1,2.0
103870,Sanji,67,1,22.0
104176,Zeff,67,1,3.0
104364,Carne,68,1,3.0
105147,Monkey D. Luffy,68,1,23.0
105282,Patty,68,1,3.0
105425,Sanji,68,1,22.0
105718,Yosaku,68,1,1.0
105731,Zeff,68,1,3.0
105778,Arlong,69,1,1.0
105929,Chabo,69,1,1.0
106024,Chew,69,1,1.0
106305,Hatchan,69,1,1.0
106433,Johnny,69,1,1.0
106554,Kuroobi,69,1,1.0
106702,Monkey D. Luffy,69,1,21.0
106752,Nami,69,1,16.0
106775,Nezumi,69,1,1.0
106945,Roronoa Zoro,69,1,20.0
106980,Sanji,69,1,23.0
107202,Usopp,69,1,11.0
107273,Yosaku,69,1,2.0
107484,Chabo,70,1,2.0
107988,Johnny,70,1,2.0
108346,Nojiko,70,1,1.0
108500,Roronoa Zoro,70,1,22.0
108757,Usopp,70,1,17.0
108888,Arlong,71,1,2.0
109134,Chew,71,1,2.0
109337,Genzo,71,1,1.0
109664,Kuroobi,71,1,2.0
109862,Nami,71,1,16.0
109901,Nojiko,71,1,2.0
110055,Roronoa Zoro,71,1,19.0
