,name,recent_freq,total_appearances,activity_score
1168,Sam,0.0,2,0.0006651884700665188
1169,Sambel,0.03,7,0.023328159645232813
1170,Samurai Batts,0.0,1,0.0003325942350332594
1171,San Juan Wolf,0.04,7,0.030328159645232812
1172,Sandayu,0.0,1,0.0003325942350332594
1173,Sanji,0.49,627,0.5515365853658536
1174,Sapee,0.0,1,0.0003325942350332594
1175,Sarahebi,0.0,6,0.0019955654101995565
1176,Sarai,0.0,1,0.0003325942350332594
1177,Sarfunkel,0.01,1,0.007332594235033259
1178,Sarquiss,0.0,13,0.004323725055432372
1179,Sarutobi,0.0,4,0.0013303769401330377
1180,Sasaki,0.0,15,0.004988913525498891
1181,Satori,0.0,4,0.0013303769401330377
1182,Sauce,0.0,2,0.0006651884700665188
1183,Sawyer Wayback,0.0,1,0.0003325942350332594
1184,Scales,0.0,4,0.0013303769401330377
1185,Scarlet,0.0,0,0.0
1186,Schollzo,0.0,24,0.007982261640798226
1187,Scimitarta,0.01,1,0.007332594235033259
1188,Scopper Gaban,0.25,29,0.1846452328159645
1189,Scorpion-Lady,0.0,6,0.0019955654101995565
1190,Scotch,0.0,1,0.0003325942350332594
1191,Scratchmen Apoo,0.0,37,0.012305986696230599
1192,Sea Boar,0.0,0,0.0
1193,Seagull Ganz Nozudon,0.03,3,0.021997782705099778
1194,Seamars,0.0,0,0.0
1195,Seira,0.0,5,0.0016629711751662971
1196,Seki,0.0,2,0.0006651884700665188
1197,Sen-no-Rikyuru,0.0,1,0.0003325942350332594
1198,Sengoku,0.04,51,0.044962305986696226
1199,Sentomaru,0.14,32,0.10864301552106431
1200,Serizawa,0.0,0,0.0
1201,Seto,0.0,6,0.0019955654101995565
1202,Señor Pink,0.0,20,0.0066518847006651885
1203,Shachi,0.0,43,0.014301552106430153
1204,Shaggy,0.0,0,0.0
1205,Shakuyaku,0.13,23,0.09864966740576496
1206,Sham,0.0,3,0.0009977827050997783
1207,Shamba,0.02,2,0.014665188470066518
1208,Shandia Chief,0.0,13,0.004323725055432372
1209,Shanks,0.13,30,0.10097782705099778
1210,Sharingle,0.0,2,0.0006651884700665188
1211,Sharley,0.0,9,0.0029933481152993346
1212,Sheepshead,0.0,2,0.0006651884700665188
1213,Sherry,0.01,6,0.008995565410199555
1214,Shiki,0.13,13,0.09532372505543237
1215,Shimotsuki Furiko,0.0,0,0.0
1216,Shimotsuki Koshiro,0.01,1,0.007332594235033259
1217,Shimotsuki Kozaburo,0.0,0,0.0
1218,Shimotsuki Kuina,0.0,0,0.0
1219,Shimotsuki Ryuma,0.0,0,0.0
1220,Shimotsuki Ushimaru,0.0,1,0.0003325942350332594
1221,Shimotsuki Yasuie,0.0,10,0.0033259423503325942
1222,Shine,0.0,3,0.0009977827050997783
1223,Shinobu,0.01,62,0.027620842572062085
1224,Shinosuke,0.0,1,0.0003325942350332594
1225,Shion,0.0,0,0.0
1226,Shirahoshi,0.05,50,0.05162971175166296
1227,Shirano,0.0,0,0.0
1228,Shiryu,0.04,17,0.03365410199556541
1229,Shishilian,0.01,29,0.01664523281596452
1230,Shojoe,0.01,10,0.010325942350332594
1231,Shu,0.0,2,0.0006651884700665188
1232,Shura,0.0,10,0.0033259423503325942
1233,Sicily,0.0,2,0.0006651884700665188
1234,Silvers Rayleigh,0.15,39,0.11797117516629711
1235,Skaldi,0.15,15,0.10998891352549889
1236,Skull,0.0,2,0.0006651884700665188
1237,Smiley,0.0,4,0.0013303769401330377
1238,Smoker,0.02,70,0.03728159645232816
1239,Smoothy,0.0,2,0.0006651884700665188
1240,Snakeman,0.0,2,0.0006651884700665188
1241,Snott Mee,0.0,0,0.0
1242,Sodomu,0.0,18,0.005986696230598669
1243,Sola,0.0,2,0.0006651884700665188
1244,Solitaire,0.0,2,0.0006651884700665188
1245,Solo,0.0,0,0.0
1246,Sonie,0.0,1,0.0003325942350332594
1247,Sora,0.0,2,0.0006651884700665188
1248,Spacey,0.0,0,0.0
1249,Spandam,0.0,33,0.01097560975609756
1250,Spandine,0.0,6,0.0019955654101995565
1251,Spara Heetpack,0.0,1,0.0003325942350332594
1252,Spartan,0.0,3,0.0009977827050997783
1253,Spector,0.0,1,0.0003325942350332594
1254,Speed,0.0,16,0.005321507760532151
1255,Speed Jil,0.0,4,0.0013303769401330377
1256,Spencer,0.07,10,0.0523259423503326
1257,Sphinx,0.0,3,0.0009977827050997783
1258,Splash and Splatter,0.0,2,0.0006651884700665188
1259,Spoil,0.0,5,0.0016629711751662971
1260,Spots,0.01,4,0.008330376940133038
1261,Squard,0.0,8,0.0026607538802660754
1262,St. Ethanbaron V. Nusjuro,0.19,32,0.1436430155210643
1263,St. Imu,0.0,0,0.0
1264,St. Jaygarcia Saturn,0.36,50,0.26862971175166295
1265,St. Marcus Mars,0.21,34,0.15830820399113082
1266,St. Shepherd Ju Peter,0.21,33,0.15797560975609756
1267,St. Topman Warcury,0.21,35,0.15864079822616406
1268,Stainless,0.01,10,0.010325942350332594
1269,Stalker,0.0,2,0.0006651884700665188
1270,Stansen,0.19,24,0.14098226164079822
1271,Staya Live,0.0,1,0.0003325942350332594
1272,Staybe,0.0,3,0.0009977827050997783
1273,Stealth Black,0.0,0,0.0
1274,Stella Live,0.0,1,0.0003325942350332594
1275,Stephen,0.0,0,0.0
1276,Sterry,0.0,8,0.0026607538802660754
1277,Strawberry,0.0,13,0.004323725055432372
1278,Stray Fox,0.0,0,0.0
1279,Streusen,0.06,13,0.04632372505543237
1280,Stroganoff,0.0,1,0.0003325942350332594
1281,Stronger,0.01,17,0.012654101995565409
1282,Stussy,0.08,30,0.06597782705099778
1283,Su,0.0,21,0.006984478935698447
1284,Sugar,0.01,13,0.01132372505543237
1285,Suke,0.0,2,0.0006651884700665188
1286,Sukune,0.0,0,0.0
1287,Suleiman,0.0,14,0.004656319290465632
1288,Super Spot-Billed Duck Troops,0.0,5,0.0016629711751662971
1289,Supersonic Duck Squadron,0.0,5,0.0016629711751662971
1290,Supersonic Duck SquadronSuper Spot-Billed Duck Troops,0.0,9,0.0029933481152993346
1291,Surume,0.0,11,0.0036585365853658534
1292,Suzume,0.0,1,0.0003325942350332594
1293,Sweetpea,0.0,11,0.0036585365853658534
1294,Synd,0.0,27,0.008980044345898004
1295,T-Bone,0.0,9,0.0029933481152993346
1296,Tabuhachiro,0.0,9,0.0029933481152993346
1297,Taco,0.0,3,0.0009977827050997783
1298,Takao,0.0,3,0.0009977827050997783
1299,Take,0.0,1,0.0003325942350332594
1300,Tama,0.0,50,0.01662971175166297
1301,Tamachibi,0.0,2,0.0006651884700665188
1302,Tamago,0.0,13,0.004323725055432372
1303,Tamagon,0.0,29,0.009645232815964523
1304,Tamanegi,0.01,15,0.011988913525498891
1305,Tamikebao,0.0,1,0.0003325942350332594
1306,Tank Lepant,0.01,27,0.015980044345898003
1307,Tansui,0.0,6,0.0019955654101995565
1308,Tararan,0.0,4,0.0013303769401330377
1309,Taro,0.06,9,0.04499334811529933
1310,Taroimo,0.0,2,0.0006651884700665188
1311,Tashigi,0.04,71,0.05161419068736142
1312,Tate,0.0,1,0.0003325942350332594
1313,Tea IV,0.0,2,0.0006651884700665188
1314,Tell,0.0,0,0.0
1315,Tenjo-Sagari,0.0,4,0.0013303769401330377
1316,Tensei,0.0,1,0.0003325942350332594
1317,Tera,0.0,0,0.0
1318,Terracotta,0.0,2,0.0006651884700665188
1319,Terry,0.0,3,0.0009977827050997783
1320,Terry Gilteo,0.01,2,0.0076651884700665186
1321,Thalassa Lucas,0.0,1,0.0003325942350332594
1322,Thanklin,0.01,6,0.008995565410199555
1323,Thatch,0.0,0,0.0
1324,Thormann,0.1,10,0.07332594235033259
1325,Tibbany Elizabeth,0.0,1,0.0003325942350332594
1326,Tilestone,0.02,40,0.027303769401330377
1327,Toad Boingnosuke,0.0,6,0.0019955654101995565
1328,Togare,0.0,0,0.0
1329,Tokijiro,0.0,2,0.0006651884700665188
1330,Tokikake,0.0,1,0.0003325942350332594
1331,Toko,0.0,26,0.008647450110864744
1332,Tom,0.0,5,0.0016629711751662971
1333,Tomatito,0.0,0,0.0
1334,Tomato Gang,0.0,0,0.0
1335,Tomozo,0.0,1,0.0003325942350332594
1336,Tonjil,0.01,1,0.007332594235033259
1337,Tonjit,0.01,6,0.008995565410199555
1338,Tonsfer,0.01,1,0.007332594235033259
1339,Tony Tony Chopper,0.43,555,0.485589800443459
1340,Topknot,0.0,4,0.0013303769401330377
1341,Torasaburo,0.0,1,0.0003325942350332594
1342,Tori,0.0,1,0.0003325942350332594
1343,Tosa,0.06,6,0.043995565410199555
1344,Totts,0.06,7,0.04432815964523281
1345,Toyama Tsujigiro,0.0,1,0.0003325942350332594
1346,Trafalgar D. Water Law,0.01,100,0.04025942350332594
1347,Trafalgar Lammy,0.0,0,0.0
1348,Trebol,0.0,30,0.009977827050997782
1349,Tristan,0.0,22,0.007317073170731707
1350,Tritobu,0.01,3,0.007997782705099777
1351,Tritoma,0.01,1,0.007332594235033259
1352,Tsugaru Umi,0.0,7,0.002328159645232816
1353,Tsukimi,0.0,0,0.0
1354,Tsumonsieur Kamaya,0.0,6,0.0019955654101995565
1355,Tsunagoro,0.0,12,0.003991130820399113
1356,Tsuru,0.015,31,0.02081042128603104
1357,Tsurue Mon-no-Suke,0.0,1,0.0003325942350332594
1358,Tu-tu,0.02,11,0.017658536585365852
1359,Turk,0.01,1,0.007332594235033259
1360,Tusk,0.03,3,0.021997782705099778
1361,Tyrannosaurus,0.01,23,0.014649667405764965
1362,UK,0.01,4,0.008330376940133038
1363,Ubau,0.0,1,0.0003325942350332594
1364,Ukkari Tsurube,0.0,1,0.0003325942350332594
1365,Ukon,0.0,5,0.0016629711751662971
1366,Ulti,0.0,21,0.006984478935698447
1367,Ultra King,0.0,2,0.0006651884700665188
1368,Umit,0.01,5,0.008662971175166297
1369,Uni,0.0,17,0.00565410199556541
1370,Unigaro,0.0,4,0.0013303769401330377
1371,Urashima,0.0,3,0.0009977827050997783
1372,Uraya Mashikatta,0.0,1,0.0003325942350332594
1373,Urban,0.07,7,0.05132815964523282
1374,Urouge,0.0,10,0.0033259423503325942
1375,Ushiano,0.05,7,0.03732815964523281
1376,Usopp,0.51,594,0.554560975609756
1377,Usunoro,0.0,3,0.0009977827050997783
1378,Uta,0.0,0,0.0
1379,Uwattsura,0.0,1,0.0003325942350332594
